"_time",ID,BlockChannel,Category,Event,Certainty,"Response Type",Severity,Urgency,"Message Type",Area,WEAText,Headline,Description,Instruction
"2020-08-25T20:01:57.000-0500","AS-WI-42f8b6c8-c4e4-4d3a-96e8-fc00e1573832",NWEM,Safety,"Law Enforcement Warning",Observed,Avoid,Extreme,Immediate,Alert,"Local Media","IPAWS WEA / EAS - Civil Unrest Advisory Kenosha County has declared a state of Emergency Curfew for 8:00 PM tonight, August 25th, East of I-94. Citizens need to be off the streets for their safety. The curfew will be enforced until August 26th at 7:00 AM.","Civil Unrest Advisory","On 08/25 at 8 PM Kenosha Co issued an emergency curfew for residents E of I-94 until 7 AM.","For your safety and convenience, please avoid travel. Thank you for your patience and cooperation."
"2020-08-25T18:51:59.000-0500","AS-WI-f6b721d1-335d-4d5e-9004-de3a88868182","EAS
NWEM",Safety,"Law Enforcement Warning",Observed,Avoid,Extreme,Immediate,Alert,"Local Media","IPAWS WEA / EAS - Civil Unrest Advisory Kenosha County has declared a state of Emergency Curfew for 8:00 PM tonight, August 25th, East of I-94. Citizens need to be off the streets for their safety. The curfew will be enforced until August 26th at 7:00 AM.",,,
"2020-08-25T17:25:45.000-0500","33dfb278-2bb5-488c-8f48-9fbbfb23b689","EAS
NWEM
PUBLIC",Safety,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,",92207","A mandatory evacuation of the Bolivar Peninsula has been ordered due to potential impacts from Hurricane Laura.  Dangerous high tides and storm surge are expected.  Emergency services could become be limited and travel to and from the peninsula may become unsafe due to Hurricane Laura.",,,
"2020-08-25T17:10:05.000-0500","AS-WI-7ee4c1b7-3f26-46f8-9b67-203eaa1d0e02",NWEM,Safety,"Local Area Emergency",Observed,Avoid,Extreme,Immediate,Alert,"Local Media","Kenosha County has declared a state of Emergency Curfew for 8:00 PM tonight August 25th East of I-94. Citizens need to be off the streets for their safety. The curfew will be enforced until 7:00 AM.","Civil Unrest Advisory","On 08/25 at 8PM Kenosha Co issued an emergency curfew for residents E of I-94 until 7AM.","For your safety and convenience, please avoid traveling through that area until further notice. Thank you for your patience and cooperation."
"2020-08-25T17:04:53.000-0500","MOAMBER-08251703","NWEM
EAS-ORG",Other,"Child Abduction Emergency",Observed,Monitor,Severe,Immediate,Alert,STATEWIDE,"BLUE SOFT TOP JEEP UNK PLATE 2 WHI MALES NEWBORN WHI FEMALE CHILD  http://bit.ly/MoAlerts","BLUE SOFT TOP JEEP UNK PLATE 2 WHI MALES NEWBORN WHI FEMALE CHILD  http://bit.ly/MoAlerts","BLUE SOFT TOP JEEP UNK PLATE 2 WHI MALES NEWBORN WHI FEMALE CHILD  http://bit.ly/MoAlerts",
"2020-08-25T16:14:57.000-0500","12e451e1-fa66-4b8e-9908-6b30f91aca1f","EAS
NWEM",Safety,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,",92271,92207,28143,9834,28144","A mandatory evacuation of the Bolivar Peninsula has been ordered due to potential impacts from Hurricane Laura.  Dangerous high tides and storm surge are expected.  Emergency services could become be limited and travel to and from the peninsula may become unsafe due to Hurricane Laura.","Bolivar Mandatory Evacuation","A mandatory evacuation of the Bolivar Peninsula has been ordered due to potential impacts from Hurricane Laura.  Dangerous high tides and storm surge are expected.  Emergency services could become be limited and travel to and from the peninsula may become unsafe due to Hurricane Laura.",
"2020-08-25T16:11:45.000-0500","f7062ba9-d754-40d1-b4fc-c920ba510403","EAS
NWEM
PUBLIC",Safety,"Evacuation Immediate",Observed,Evacuate,Extreme,Immediate,Alert,",92271,92207,28143,9834,28144","A mandatory evacuation of the Bolivar Peninsula has been ordered due to potential impacts from Hurricane Laura.  Dangerous high tides and storm surge are expected.  Emergency services could become be limited and travel to and from the peninsula may become unsafe due to Hurricane Laura.",,,
"2020-08-25T13:06:30.000-0500",535191579805774,"CAPEXCH
NWEM
EAS
PUBLIC
CAPEXCH
NWEM
EAS
PUBLIC","Safety
Safety","Evacuation Immediate","Observed
Observed",,"Extreme
Extreme","Immediate
Immediate",Alert,"Harris County, TX
Harris County, TX","IMMEDIATE Voluntary Evacuation for ZIP ZONES A and B in Harris County. See evacuation map at bit.ly/37j6dPR. IF LEAVING: Secure your home, take your kit/essential items and do not leave pets behind!  IF STAYING: secure windows/doors, bring pets inside, stay informed. Follow instructions from local officials. Go to ReadyHarris.org for more information.
Evacuacion voluntaria INMEDIATA para las ZONAS POSTALES A y B in el Condado Harris. Consulte el mapa de evacuacion en bit.ly/37j6dPR. Si se va proteja su hogar, lleve su kit y articulos esenciales. No olvide las mascotas. SI SE QUEDA: proteja puertas y ventanas, meta a sus mascotas y mantengase informado. Visite ReadyHarris.org para mas informacion.","Voluntary Evacuation for Zip Zones A & B in Harris County
Voluntary Evacuation for Zip Zones A & B in Harris County",,
"2020-08-25T13:06:29.000-0500","85b166a0-a096-49b4-a68a-14620102d45a","EAS
NWEM
PUBLIC",Safety,"Local Area Emergency",Likely,Prepare,Severe,Immediate,Alert,",90676","St John the Baptist Parish is lifting the voluntary evacuation for Pleasure Bend and areas North of I 10 in Laplace, including Frenier, Peavine and Manchac. All residents are encouraged to monitor our website for any changes.",,,
"2020-08-25T12:13:10.000-0500",82026786,"NWEM
CAPEXCH",Met,"Evacuation Immediate",Likely,Evacuate,Extreme,Immediate,Alert,"Beauregard LA","EVACUATION OF LOW LYING AREAS / MOBILE HOMES ARE STRONGLY RECOMMENDED FOR HURRICANE LAURA","Evacuations are Strongly Recommended NOW ahead of Hurricane Laura","Aug. 25, 2020
 
Beauregard officials issue strong recommendation to evacuate for residents in low-lying areas, mobile homes
 
Forecasters warn this will be a major water and wind event
 
Due to the National Weather Service&rsquo;s latest forecast for Hurricane Laura, Beauregard Parish officials are issuing a strong recommendation to evacuate for residents living in low-lying areas and those living in mobile homes or travel trailers.
 
Forecasters warn that Laura will be a major water and wind event. Please consider this warning when making your plans. Officials advise that if residents plan on leaving, they should do so on Tuesday.
 
Parish officials have said that if residents remain in their homes during the storm, there will be a period of time &mdash; up to 72 hours &mdash; when emergency officials will not be able to assist them.
 
The recommendation was issued Tuesday morning by the Beauregard Parish Unified Command Group, which includes officials with the Beauregard Parish Sheriff&rsquo;s Office, Office of Homeland Security and Emergency Preparedness, Beauregard Parish Police Jury, Town of Merryville, City of DeRidder and Beauregard Parish School Board.
 
&mdash;30&mdash;","Follow local media for further updates"
